City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,24.39,82,40,3.6,US,1694454322
1,blackmans bay,-43.0167,147.3167,9.18,82,100,1.77,AU,1694454322
2,sungai penuh,-2.0833,101.3833,17.88,94,28,1.63,ID,1694454323
3,port-aux-francais,-49.35,70.2167,2.06,81,87,9.15,TF,1694454323
4,misratah,32.3754,15.0925,25.89,68,6,5.14,LY,1694454323
5,arraial do cabo,-22.9661,-42.0278,26.98,57,0,10.8,BR,1694454323
6,waitangi,-43.9535,-176.5597,12.68,88,100,5.36,NZ,1694454324
7,posto fiscal rolim de moura,-13.0833,-62.2667,34.17,37,73,0.98,BR,1694454324
8,margaret river,-33.95,115.0667,16.32,87,10,6.95,AU,1694454324
9,katsuura,35.1333,140.3,25.42,80,82,2.9,JP,1694454325
10,adamstown,-25.066,-130.1015,22.01,86,33,12.32,PN,1694454325
11,invercargill,-46.4,168.35,5.57,83,75,2.24,NZ,1694454325
12,taoudenni,22.6783,-3.9836,43.19,11,21,4.26,ML,1694454326
13,sao fidelis,-21.6461,-41.7469,27.97,36,52,3.38,BR,1694454034
14,ust-nera,64.5667,143.2,-1.81,89,72,3.27,RU,1694454326
15,hamilton,39.1834,-84.5333,29.39,54,0,2.24,US,1694454196
16,hithadhoo,-0.6,73.0833,28.14,76,98,4.23,MV,1694454327
17,dapa,9.7594,126.0531,28.0,76,100,5.26,PH,1694454327
18,dzhalagash,45.0833,64.6667,15.59,51,36,6.92,KZ,1694454327
19,raja,8.4596,25.678,24.34,84,84,2.2,SS,1694454327
20,tarauaca,-8.1614,-70.7656,33.35,44,96,1.19,BR,1694454328
21,isafjordur,66.0755,-23.124,9.02,61,0,3.6,IS,1694454328
22,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1694454328
23,atafu village,-8.5421,-172.5159,28.02,76,68,5.49,TK,1694454328
24,aykhal,66.0,111.5,2.62,97,94,4.12,RU,1694454329
25,new norfolk,-42.7826,147.0587,9.84,87,100,0.9,AU,1694454329
26,bilibino,68.0546,166.4372,1.45,85,9,1.88,RU,1694454329
27,stanley,54.868,-1.6985,15.4,91,20,3.6,GB,1694454329
28,aswan,24.0934,32.907,41.61,12,0,5.14,EG,1694454330
29,grytviken,-54.2811,-36.5092,-2.69,79,20,3.98,GS,1694454330
30,lihue,21.9789,-159.3672,24.09,84,40,6.17,US,1694454330
31,west island,-12.1568,96.8225,24.99,78,40,5.14,CC,1694454331
32,guayaramerin,-10.8368,-65.3614,33.03,52,40,3.09,BO,1694454331
33,olonkinbyen,70.9221,-8.7187,2.89,76,100,6.14,SJ,1694454331
34,altamira,-3.2033,-52.2064,35.05,52,75,3.6,BR,1694454205
35,paraiso,9.8383,-83.8656,25.53,76,54,1.09,CR,1694454295
36,lashio,22.9333,97.75,20.63,99,92,0.25,MM,1694454332
37,jiwani,25.05,61.7417,26.74,85,16,4.7,PK,1694454332
38,banda aceh,5.5577,95.3222,26.61,84,92,3.11,ID,1694454332
39,girifalco,38.8243,16.4241,21.05,78,18,1.03,IT,1694454333
40,edinburgh of the seven seas,-37.0676,-12.3116,13.72,89,100,10.89,SH,1694454333
41,porto novo,6.4965,2.6036,26.9,84,87,4.71,BJ,1694454333
42,roosevelt,33.9668,-103.4505,24.95,37,74,3.2,US,1694454334
43,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,7.72,EC,1694454334
44,puerto natales,-51.7236,-72.4875,7.46,74,100,1.64,CL,1694454334
45,motueka,-41.1333,173.0167,7.28,89,48,2.19,NZ,1694454334
46,puerto ayora,-0.7393,-90.3518,26.98,88,40,3.13,EC,1694454335
47,juankoski,63.0667,28.35,17.92,94,52,2.47,FI,1694454335
48,aasiaat,68.7098,-52.8699,2.55,86,100,3.52,GL,1694454335
49,bethel,41.3712,-73.414,27.84,75,100,1.54,US,1694454336
50,tamandare,-8.7597,-35.1047,26.87,61,60,4.24,BR,1694454337
51,punta arenas,-53.15,-70.9167,5.06,81,75,2.57,CL,1694454046
52,wailua homesteads,22.0669,-159.378,23.75,85,40,6.17,US,1694454337
53,tura,25.5198,90.2201,23.68,91,27,2.07,IN,1694454338
54,namibe,-15.1961,12.1522,18.06,88,38,3.89,AO,1694454338
55,la passe,45.5549,-0.8967,26.13,78,72,4.56,FR,1694454338
56,narimanov,46.6927,47.8498,15.95,36,42,3.84,RU,1694454339
57,avarua,-21.2078,-159.775,21.03,64,100,4.63,CK,1694454040
58,kingscliff,-28.2667,153.5667,14.31,72,0,3.09,AU,1694454339
59,albany,42.6001,-73.9662,23.83,90,99,1.61,US,1694454231
60,kongolo,-5.3833,27.0,27.71,47,25,0.69,CD,1694454340
61,katagum,12.2867,10.3527,33.77,27,67,4.02,NG,1694454340
62,el porvenir,13.7617,-87.3458,30.63,40,31,2.79,HN,1694454340
63,essaouira,31.5125,-9.77,25.72,61,40,6.69,MA,1694454341
64,kolwezi,-10.7148,25.4667,23.76,27,28,1.06,CD,1694454116
65,tidjikja,18.5564,-11.4271,35.53,31,94,6.14,MR,1694454341
66,ambovombe,-25.1667,46.0833,21.99,76,0,2.14,MG,1694454341
67,walvis bay,-22.9575,14.5053,16.53,44,0,10.29,NA,1694454342
68,lompoc,34.6391,-120.4579,23.8,72,75,2.06,US,1694454169
69,talnakh,69.4865,88.3972,12.34,95,100,4.72,RU,1694454342
70,gizo,-8.103,156.8419,26.91,78,76,8.23,SB,1694454342
71,newman,37.3138,-121.0208,27.81,17,31,2.37,US,1694454343
72,vilyuchinsk,52.9306,158.4028,7.15,79,66,5.24,RU,1694454343
73,howrah,22.5892,88.3103,30.0,89,75,2.06,IN,1694454343
74,praia da vitoria,38.7333,-27.0667,25.42,73,20,2.0,PT,1694454343
75,kodiak,57.79,-152.4072,6.73,81,0,2.57,US,1694454126
76,sao gabriel da cachoeira,-0.1303,-67.0892,32.89,66,40,2.57,BR,1694454344
77,fortuna,40.5982,-124.1573,19.96,80,75,2.06,US,1694454344
78,mana,5.6592,-53.7767,29.69,70,99,4.99,GF,1694454345
79,bredasdorp,-34.5322,20.0403,7.68,61,53,2.92,ZA,1694454345
80,papatowai,-46.5619,169.4708,2.99,89,39,3.89,NZ,1694454345
81,al bawiti,28.3492,28.8659,29.63,41,10,8.14,EG,1694454346
82,zaragoza,41.6561,-0.8773,24.33,64,20,7.2,ES,1694454162
83,taltal,-25.4,-70.4833,16.05,78,79,0.9,CL,1694454346
84,alice springs,-23.7,133.8833,7.75,34,0,0.0,AU,1694454346
85,waddan,29.1614,16.139,27.44,32,0,6.35,LY,1694454346
86,ahwa,20.75,73.6833,22.32,94,33,2.99,IN,1694454347
87,karratha,-20.7377,116.8463,24.25,55,3,4.38,AU,1694454347
88,zag,46.9441,99.165,7.13,55,83,1.58,MN,1694454347
89,kokoda,-8.8785,147.7407,22.05,80,82,0.69,PG,1694454348
90,hadibu,12.65,54.0333,26.87,81,66,7.82,YE,1694454348
91,la ronge,55.1001,-105.2842,16.14,59,20,6.17,CA,1694454348
92,san patricio,28.017,-97.5169,34.4,33,3,4.52,US,1694454348
93,haiku-pauwela,20.9219,-156.3051,26.13,63,0,6.69,US,1694454349
94,konkwesso,10.8469,4.0984,29.55,69,47,0.77,NG,1694454349
95,ispica,36.7844,14.9063,25.35,61,5,2.07,IT,1694454350
96,carnarvon,-24.8667,113.6333,19.34,82,33,3.98,AU,1694454350
97,el calafate,-50.3408,-72.2768,4.79,66,73,1.15,AR,1694454350
98,tiksi,71.6872,128.8694,4.24,75,92,6.97,RU,1694454351
99,suva,-18.1416,178.4415,19.71,94,20,0.0,FJ,1694454351
100,fort st. john,56.2499,-120.8529,15.94,55,100,1.54,CA,1694454351
101,dossor,47.5272,52.9811,17.19,45,59,2.43,KZ,1694454352
102,kisangani,0.5167,25.2,22.53,96,61,0.23,CD,1694454352
103,ushuaia,-54.8,-68.3,5.81,75,75,3.09,AR,1694454352
104,qamdo,31.1667,97.2333,1.81,94,100,1.71,CN,1694454352
105,ilulissat,69.2167,-51.1,4.01,56,75,2.06,GL,1694454353
106,kourou,5.1552,-52.6478,30.03,62,89,5.27,GF,1694454113
107,tobol'sk,58.2,68.2667,13.66,69,5,3.57,RU,1694454244
108,nova sintra,14.8667,-24.7167,24.63,79,55,2.84,CV,1694454353
109,sawakin,19.1059,37.3321,32.16,54,69,3.22,SD,1694454354
110,porbandar,21.6422,69.6093,27.16,84,95,5.83,IN,1694454354
111,neiafu,-18.65,-173.9833,23.38,83,40,4.63,TO,1694454354
112,saipan,15.1355,145.701,27.39,83,40,4.12,MP,1694454354
113,longyearbyen,78.2186,15.6401,1.91,80,20,2.57,SJ,1694454354
114,mateur,37.0405,9.6656,26.79,64,49,4.71,TN,1694454355
115,iskateley,67.6803,53.1512,11.24,89,91,2.48,RU,1694454355
116,huarmey,-10.0681,-78.1522,19.7,83,20,6.66,PE,1694454355
117,spring creek,40.7266,-115.5859,22.94,24,4,1.26,US,1694454072
118,sinop,41.7711,34.8709,11.78,86,29,0.16,TR,1694454356
119,reforma,18.1,-91.0167,30.83,63,93,1.8,MX,1694454356
120,tosontsengel,48.7567,98.2839,8.56,52,89,1.5,MN,1694454356
121,newnham,-41.3833,147.1333,8.53,87,100,5.66,AU,1694454357
122,ancud,-41.8697,-73.8203,9.51,76,13,6.55,CL,1694454357
123,kuching,1.55,110.3333,27.79,94,20,1.03,MY,1694454357
124,remire-montjoly,4.9167,-52.2667,30.02,70,75,1.03,GF,1694454357
125,machico,32.7,-16.7667,25.35,69,20,2.06,PT,1694454358
126,labrador city,52.9463,-66.9114,17.95,42,40,3.6,CA,1694454358
127,nurota,40.5614,65.6886,17.24,39,0,2.1,UZ,1694454358
128,utrik,11.2278,169.8474,29.09,79,55,8.64,MH,1694454358
129,blackpool,53.8167,-3.05,19.27,85,75,2.06,GB,1694454359
130,northam,51.0333,-4.2167,19.25,92,8,3.14,GB,1694454359
131,cill airne,52.05,-9.5167,15.03,88,75,4.63,IE,1694454359
132,nova olimpia,-14.7972,-57.2881,40.96,16,5,2.93,BR,1694454360
133,chitungwiza,-18.0127,31.0756,19.04,26,0,0.9,ZW,1694454360
134,teguise,29.0605,-13.564,25.12,50,20,6.17,ES,1694454360
135,mata-utu,-13.2816,-176.1745,26.99,79,19,6.66,WF,1694454360
136,chimore,-16.9833,-65.1333,39.75,21,0,3.65,BO,1694454360
137,kyren,51.6828,102.1408,6.57,84,15,1.06,RU,1694454361
138,tolanaro,-25.0319,46.9987,23.04,73,20,9.77,MG,1694454361
139,college,64.8569,-147.8028,7.99,93,100,3.09,US,1694454361
140,thompson,55.7435,-97.8558,15.09,55,20,1.54,CA,1694454362
141,klyuchi,52.2667,79.1667,15.19,67,100,8.04,RU,1694454362
142,chibougamau,49.9168,-74.3659,18.79,48,100,3.09,CA,1694454362
143,ocumare del tuy,10.1165,-66.7761,36.16,42,20,4.19,VE,1694454363
144,angaur state,6.906,134.13,28.01,75,87,5.26,PW,1694454364
145,port alfred,-33.5906,26.891,11.77,73,67,4.92,ZA,1694454365
146,san antonio de pale,-1.4014,5.6325,23.52,84,98,5.68,GQ,1694454365
147,basotu,-4.3667,35.0833,21.91,53,98,1.5,TZ,1694454366
148,samsun,41.25,36.3333,19.42,64,40,5.14,TR,1694454366
149,bukavu,-2.5083,28.8608,18.2,87,98,0.47,CD,1694454366
150,prainha,-1.8,-53.48,36.58,33,5,2.83,BR,1694454366
151,bandundu,-3.3167,17.3667,30.48,45,100,1.61,CD,1694454367
152,berdigestyakh,62.0989,126.6992,0.11,96,100,2.0,RU,1694454367
153,dudinka,69.4058,86.1778,12.57,84,100,6.79,RU,1694454367
154,tazovsky,67.4667,78.7,10.86,71,94,4.35,RU,1694454368
155,tralee,52.2704,-9.7026,15.14,88,75,4.63,IE,1694454186
156,santa cruz,-17.8,-63.1667,35.7,43,20,11.32,BO,1694454368
157,xilin hot,43.9667,116.0333,7.44,47,6,1.57,CN,1694454368
158,laascaanood,8.4774,47.3597,29.34,42,27,11.85,SO,1694454369
159,fale old settlement,-9.3852,-171.2468,27.72,78,98,5.41,TK,1694454369
160,harper,4.375,-7.7169,25.59,84,66,4.16,LR,1694454369
161,east london,-33.0153,27.9116,12.52,62,0,12.86,ZA,1694454369
162,ribeira grande,38.5167,-28.7,24.22,73,20,4.12,PT,1694454369
163,kavaratti,10.5669,72.642,27.64,81,100,6.13,IN,1694454370
164,fort bragg,35.139,-79.006,31.06,56,0,1.54,US,1694454370
165,homer,59.6425,-151.5483,8.76,93,75,1.54,US,1694454365
166,colonia,50.9333,6.95,27.75,59,0,2.57,DE,1694454370
167,juneau,58.3019,-134.4197,13.45,92,100,6.17,US,1694454371
168,al kharijah,25.4514,30.5464,32.41,21,2,4.86,EG,1694454371
169,hammerfest,70.6634,23.6821,8.25,93,75,5.14,NO,1694454371
170,praia,14.9215,-23.5087,27.3,89,75,4.63,CV,1694454371
171,aurangabad,19.8833,75.3333,23.17,89,19,6.11,IN,1694454192
172,hermanus,-34.4187,19.2345,7.67,76,34,2.55,ZA,1694454372
173,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,93,0,3.0,RU,1694454372
174,levuka,50.1834,-105.4011,16.9,67,75,5.66,CA,1694454372
175,yanchep,-31.55,115.6833,14.97,86,1,3.56,AU,1694454372
176,st. john's,47.5649,-52.7093,18.97,83,75,4.12,CA,1694454373
177,parabel',58.6978,81.4825,7.44,90,25,2.26,RU,1694454373
178,bandar abbas,27.1865,56.2808,32.99,84,20,2.06,IR,1694454373
179,yellowknife,62.456,-114.3525,16.34,82,75,6.71,CA,1694454223
180,kavieng,-2.5744,150.7967,27.34,80,100,5.3,PG,1694454374
181,port-vila,-17.7338,168.3219,23.13,80,81,6.92,VU,1694454371
182,red hill,33.9996,-79.2581,31.74,63,6,2.23,US,1694454374
183,qaqortoq,60.7167,-46.0333,4.09,87,98,3.63,GL,1694454374
184,murzuq,25.9155,13.9184,29.58,24,0,4.73,LY,1694454374
185,nahiyat ash shinafiyah,31.5874,44.6602,36.05,17,0,2.67,IQ,1694454375
186,indiana,40.0003,-86.2503,26.79,56,40,3.09,US,1694454139
187,portland,45.5234,-122.6762,22.35,66,75,1.79,US,1694454227
188,brumado,-14.2036,-41.6653,31.07,31,14,5.63,BR,1694454375
189,magadan,59.5667,150.8,3.89,75,24,1.29,RU,1694454375
190,redencao,-4.2258,-38.7306,34.52,34,0,6.25,BR,1694454376
191,sarmiento,-45.5882,-69.07,11.25,35,99,13.26,AR,1694454376
192,kencong,-8.2833,113.3667,22.74,95,66,0.26,ID,1694454376
193,pecan plantation,32.3604,-97.6756,29.32,46,0,4.63,US,1694454376
194,sambava,-14.2667,50.1667,22.13,85,34,4.01,MG,1694454377
195,horta,38.5333,-28.6333,23.8,81,20,4.12,PT,1694454377
196,iqaluit,63.7506,-68.5145,2.85,86,100,2.06,CA,1694454377
197,sadovoye,47.7764,44.5089,18.59,42,89,5.44,RU,1694454377
198,chanika,-5.4167,38.0167,20.53,82,42,2.86,TZ,1694454378
199,vorgashor,67.5833,63.95,12.07,84,59,3.88,RU,1694454378
200,uturoa,-16.7333,-151.4333,24.87,78,6,2.39,PF,1694454378
201,weno,7.4515,151.8468,24.97,100,100,0.0,FM,1694454378
